Pet,Furniture,Subway,house_type,district,area,bedroom,suite,garage,total,floor_grouped
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,38,1,0,0,1790,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,53,2,0,0,2461,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Liberdade,51,1,0,0,1730,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,30,1,0,0,1481,6-10
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,37,1,0,0,1348,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,30,1,0,0,1368,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,40,1,0,0,1743,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,45,1,0,0,2609,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,42,1,0,0,2316,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Mooca,36,1,1,0,1951,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Santa Cecília,41,1,0,0,1864,16-20
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,40,1,0,2,2269,11-15
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Consolação,40,1,0,1,3011,11-15
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,28,1,0,0,2056,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,32,1,1,0,1476,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,20,1,1,0,2240,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,48,2,0,1,2262,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,78,1,0,0,1753,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Liberdade,78,1,0,0,1856,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,45,1,1,1,2867,0-5
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Centro,30,1,1,1,2415,16-20
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,16,1,1,0,1240,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Santa Cecília,26,1,0,1,2516,-
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,45,1,1,0,2556,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,45,1,1,0,2556,11-15
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,40,1,1,0,2556,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,40,1,0,1,2752,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,46,1,0,0,1642,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,40,1,0,0,1415,0-5
Não aceita,Mobiliado,Metrô próx.,Apartamento,Centro,37,1,0,0,1977,20+
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,40,1,1,0,2249,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,30,1,0,0,1638,0-5
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Consolação,42,1,0,0,1875,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,28,1,0,0,2043,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,40,1,0,0,1535,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Aclimação,44,1,0,0,1623,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Consolação,30,1,0,0,1951,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,30,1,0,0,2225,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,25,1,0,0,1960,6-10
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,20,1,0,0,2173,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,33,1,0,0,1633,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Brás,52,1,0,1,2344,11-15
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Consolação,48,1,0,0,3223,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,25,1,0,0,2140,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,20,1,0,0,2173,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,25,1,0,0,1372,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Centro,20,1,0,0,2067,6-10
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,35,1,0,0,2556,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Centro,21,1,0,0,1179,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,30,1,0,0,1806,11-15
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Santa Cecília,28,1,0,0,2736,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Consolação,35,1,0,0,1992,-
Aceita pet,Mobiliado,Metrô próx.,Studio,Consolação,46,1,1,1,3724,11-15
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,24,1,0,0,1471,6-10
Não aceita,Sem mobília,Metrô próx.,Studio,Consolação,35,1,0,0,2516,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,36,1,1,0,1843,11-15
Aceita pet,Mobiliado,Metrô próx.,Studio,Bela Vista,29,1,1,0,2772,11-15
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,38,1,0,0,2759,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,38,1,0,0,2759,0-5
Aceita pet,Sem mobília,Não próx.,Apartamento,Cambuci,63,3,0,1,2749,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,120,2,0,0,3129,0-5
Não aceita,Mobiliado,Metrô próx.,Apartamento,Consolação,64,2,1,1,4226,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,14,1,0,0,1219,0-5
Não aceita,Mobiliado,Metrô próx.,Studio,Centro,20,1,0,0,1551,0-5
