Pet,Furniture,Subway,house_type,district,area,bedroom,suite,garage,floor,rent,condominium,is_condominium_included,taxes,is_taxes_included,fire_insurance,service,total
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Centro,30,1,0,0,4,1700,360,0,0,0,22,34,2116
Não aceita,Sem mobília,Metrô próx.,Apartamento,Bela Vista,58,1,1,0,2,1300,330,0,0,0,17,26,1673
Não aceita,Sem mobília,Metrô próx.,Studio,Centro,25,1,0,0,12,1550,252,0,36,0,20,31,1889
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,40,1,0,0,9,1200,307,0,20,0,16,24,1567
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Brás,40,1,0,0,19,1500,350,0,98,0,20,30,1998
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bom Retiro,30,1,1,1,22,2100,541,0,0,0,27,,2668
Aceita pet,Mobiliado,Metrô próx.,Studio,Santa Cecília,46,2,0,0,7,2100,550,0,86,0,27,,2763
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,48,1,0,1,15,2000,547,0,67,0,26,40,2680
Aceita pet,Mobiliado,Metrô próx.,Studio,Consolação,46,1,0,0,3,2000,290,0,0,0,26,,2316
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bom Retiro,110,2,0,0,5,1400,835,0,65,0,18,,2318
Não aceita,Sem mobília,Metrô próx.,Apartamento,Bela Vista,220,4,0,1,2,6000,1340,0,17,0,77,120,7554
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Higienópolis,117,2,0,0,5,3675,912,0,114,0,47,,4748
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bom Retiro,103,2,1,0,1,1800,1100,0,0,0,23,,2923
Não aceita,Mobiliado,Metrô próx.,Studio,Centro,40,1,0,0,6,1600,500,0,0,0,21,32,2153
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Liberdade,46,1,0,0,1,2560,11,0,0,0,33,51,2655
Não aceita,Sem mobília,Metrô próx.,Apartamento,Bela Vista,40,1,0,1,5,2800,440,0,100,0,36,56,3432
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,33,1,0,1,4,1950,575,0,8,0,25,39,2597
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,102,2,0,0,7,3197,835,0,0,0,41,64,4137
Não aceita,Mobiliado,Metrô próx.,Studio,Bela Vista,28,1,0,1,13,2800,615,0,42,0,36,56,3549
Não aceita,Mobiliado,Metrô próx.,Studio,Bela Vista,26,1,1,0,4,2500,350,0,1,0,32,50,2933
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,73,2,0,1,9,2000,920,0,0,0,26,40,2986
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,25,1,0,0,8,2300,431,0,53,0,30,46,2860
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,0,0,6,2100,384,0,47,0,27,42,2600
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,37,1,0,0,5,860,660,0,0,0,11,17,1548
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,30,1,1,0,3,2180,400,0,0,0,28,,2608
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,30,1,0,0,8,1190,350,0,0,0,16,,1556
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,64,2,1,1,11,2500,620,0,110,0,32,50,3312
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,51,1,0,1,15,2605,536,0,115,0,34,52,3342
Não aceita,Mobiliado,Metrô próx.,Studio,Consolação,40,1,0,0,2,1750,430,0,0,0,23,,2203
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,45,2,1,0,8,1540,498,0,59,0,20,31,2148
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,40,1,1,0,1,1100,350,0,0,0,14,22,1486
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,41,1,0,0,14,2548,441,0,80,0,33,51,3153
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,25,1,0,0,9,2350,431,0,53,0,30,47,2911
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,40,1,0,1,6,2700,557,0,122,0,35,54,3468
Não aceita,Mobiliado,Metrô próx.,Apartamento,Brás,35,1,0,0,4,1995,320,0,0,0,26,40,2381
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,35,1,0,0,,1600,400,0,0,0,21,,2021
